order,length,word,prob,exchanges
1,2,RM,0.25,0
1,2,LA,0.25,1
1,2,RT,0.25,0
1,2,KD,0.25,0
1,2,AB,0.25,0
1,2,GD,0.25,1
1,2,MI,0.25,0
1,2,DA,0.25,0
1,2,DS,0.25,0
1,2,WN,0.25,0
1,3,BDS,0.25,0
1,3,GSP,0.25,2
1,3,LUX,0.25,0
1,3,PMD,0.25,3
1,3,LTV,0.25,0
1,3,NMA,0.25,1
1,3,FPJ,0.25,0
1,3,FNC,0.25,2
1,3,JNL,0.25,7
1,3,LDC,0.25,3
1,4,ULAB,0.25,33
1,4,EGIN,0.25,27
1,4,UDIT,0.25,15
1,4,LACY,0.25,9
1,4,TINK,0.25,15
1,4,WASN,0.25,8
1,4,ITOE,0.25,20
1,4,TUAK,0.25,5
1,4,KULT,0.25,6
1,4,OCDP,0.25,1
1,5,HENTZ,0.25,39
1,5,GIKEN,0.25,6
1,5,ALSEK,0.25,12
1,5,USINE,0.25,58
1,5,COLDI,0.25,86
1,5,BORAS,0.25,28
1,5,FANYS,0.25,80
1,5,JEWRY,0.25,145
1,5,LOWES,0.25,101
1,5,VETON,0.25,3
1,6,UBIETY,0.25,14
1,6,FARNBY,0.25,222
1,6,URBANE,0.25,150
1,6,DEOSIL,0.25,544
1,6,THANES,0.25,63
1,6,REHMAN,0.25,1194
1,6,BECHAR,0.25,160
1,6,SYLFUM,0.25,613
1,6,ESCUDO,0.25,7
1,6,BURSON,0.25,20
1,7,ARDENCY,0.25,985
1,7,ALNOURI,0.25,3707
1,7,POWRFUL,0.25,7410
1,7,COULDER,0.25,2091
1,7,NURIDZO,0.25,5558
1,7,COLGATE,0.25,774
1,7,CALDONS,0.25,3563
1,7,TRYPSIN,0.25,4096
1,7,COMITES,0.25,332
1,7,PRESOLD,0.25,188
1,2,RM,0.5,0
1,2,LA,0.5,0
1,2,RT,0.5,1
1,2,KD,0.5,1
1,2,AB,0.5,1
1,2,GD,0.5,0
1,2,MI,0.5,0
1,2,DA,0.5,0
1,2,DS,0.5,0
1,2,WN,0.5,0
1,3,BDS,0.5,0
1,3,GSP,0.5,4
1,3,LUX,0.5,0
1,3,PMD,0.5,1
1,3,LTV,0.5,5
1,3,NMA,0.5,2
1,3,FPJ,0.5,1
1,3,FNC,0.5,1
1,3,JNL,0.5,2
1,3,LDC,0.5,2
1,4,ULAB,0.5,28
1,4,EGIN,0.5,1
1,4,UDIT,0.5,45
1,4,LACY,0.5,2
1,4,TINK,0.5,1
1,4,WASN,0.5,12
1,4,ITOE,0.5,4
1,4,TUAK,0.5,1
1,4,KULT,0.5,1
1,4,OCDP,0.5,5
1,5,HENTZ,0.5,46
1,5,GIKEN,0.5,6
1,5,ALSEK,0.5,15
1,5,USINE,0.5,100
1,5,COLDI,0.5,70
1,5,BORAS,0.5,12
1,5,FANYS,0.5,11
1,5,JEWRY,0.5,8
1,5,LOWES,0.5,35
1,5,VETON,0.5,86
1,6,UBIETY,0.5,110
1,6,FARNBY,0.5,138
1,6,URBANE,0.5,188
1,6,DEOSIL,0.5,1892
1,6,THANES,0.5,25
1,6,REHMAN,0.5,184
1,6,BECHAR,0.5,77
1,6,SYLFUM,0.5,737
1,6,ESCUDO,0.5,110
1,6,BURSON,0.5,170
1,7,ARDENCY,0.5,8133
1,7,ALNOURI,0.5,2738
1,7,POWRFUL,0.5,4827
1,7,COULDER,0.5,2336
1,7,NURIDZO,0.5,4557
1,7,COLGATE,0.5,6
1,7,CALDONS,0.5,135
1,7,TRYPSIN,0.5,6780
1,7,COMITES,0.5,1356
1,7,PRESOLD,0.5,686
1,2,RM,0.75,1
1,2,LA,0.75,1
1,2,RT,0.75,0
1,2,KD,0.75,0
1,2,AB,0.75,0
1,2,GD,0.75,0
1,2,MI,0.75,1
1,2,DA,0.75,0
1,2,DS,0.75,1
1,2,WN,0.75,1
1,3,BDS,0.75,1
1,3,GSP,0.75,2
1,3,LUX,0.75,0
1,3,PMD,0.75,2
1,3,LTV,0.75,0
1,3,NMA,0.75,1
1,3,FPJ,0.75,2
1,3,FNC,0.75,4
1,3,JNL,0.75,4
1,3,LDC,0.75,1
1,4,ULAB,0.75,19
1,4,EGIN,0.75,9
1,4,UDIT,0.75,8
1,4,LACY,0.75,17
1,4,TINK,0.75,4
1,4,WASN,0.75,8
1,4,ITOE,0.75,2
1,4,TUAK,0.75,2
1,4,KULT,0.75,7
1,4,OCDP,0.75,6
1,5,HENTZ,0.75,42
1,5,GIKEN,0.75,383
1,5,ALSEK,0.75,64
1,5,USINE,0.75,165
1,5,COLDI,0.75,26
1,5,BORAS,0.75,19
1,5,FANYS,0.75,6
1,5,JEWRY,0.75,136
1,5,LOWES,0.75,36
1,5,VETON,0.75,6
1,6,UBIETY,0.75,406
1,6,FARNBY,0.75,178
1,6,URBANE,0.75,106
1,6,DEOSIL,0.75,347
1,6,THANES,0.75,359
1,6,REHMAN,0.75,94
1,6,BECHAR,0.75,194
1,6,SYLFUM,0.75,93
1,6,ESCUDO,0.75,206
1,6,BURSON,0.75,135
1,7,ARDENCY,0.75,798
1,7,ALNOURI,0.75,3865
1,7,POWRFUL,0.75,757
1,7,COULDER,0.75,679
1,7,NURIDZO,0.75,634
1,7,COLGATE,0.75,2396
1,7,CALDONS,0.75,3459
1,7,TRYPSIN,0.75,268
1,7,COMITES,0.75,891
1,7,PRESOLD,0.75,5836
1,2,RM,1.0,0
1,2,LA,1.0,1
1,2,RT,1.0,0
1,2,KD,1.0,0
1,2,AB,1.0,1
1,2,GD,1.0,0
1,2,MI,1.0,1
1,2,DA,1.0,0
1,2,DS,1.0,1
1,2,WN,1.0,1
1,3,BDS,1.0,0
1,3,GSP,1.0,1
1,3,LUX,1.0,3
1,3,PMD,1.0,1
1,3,LTV,1.0,4
1,3,NMA,1.0,2
1,3,FPJ,1.0,2
1,3,FNC,1.0,9
1,3,JNL,1.0,1
1,3,LDC,1.0,1
1,4,ULAB,1.0,15
1,4,EGIN,1.0,19
1,4,UDIT,1.0,3
1,4,LACY,1.0,5
1,4,TINK,1.0,3
1,4,WASN,1.0,16
1,4,ITOE,1.0,11
1,4,TUAK,1.0,21
1,4,KULT,1.0,3
1,4,OCDP,1.0,13
1,5,HENTZ,1.0,36
1,5,GIKEN,1.0,10
1,5,ALSEK,1.0,70
1,5,USINE,1.0,12
1,5,COLDI,1.0,55
1,5,BORAS,1.0,12
1,5,FANYS,1.0,28
1,5,JEWRY,1.0,79
1,5,LOWES,1.0,3
1,5,VETON,1.0,52
1,6,UBIETY,1.0,1109
1,6,FARNBY,1.0,390
1,6,URBANE,1.0,110
1,6,DEOSIL,1.0,703
1,6,THANES,1.0,69
1,6,REHMAN,1.0,416
1,6,BECHAR,1.0,368
1,6,SYLFUM,1.0,123
1,6,ESCUDO,1.0,232
1,6,BURSON,1.0,608
1,7,ARDENCY,1.0,1666
1,7,ALNOURI,1.0,1842
1,7,POWRFUL,1.0,15094
1,7,COULDER,1.0,3033
1,7,NURIDZO,1.0,1163
1,7,COLGATE,1.0,2452
1,7,CALDONS,1.0,10513
1,7,TRYPSIN,1.0,4663
1,7,COMITES,1.0,4962
1,7,PRESOLD,1.0,2810